leto,država,id,ime,p1,p2,p3,p4,p5,p6,vsota,nagrada
1963,Poland,9896,Marian Orłowski,unknown,unknown,unknown,unknown,unknown,unknown,7,
1964,Union of Soviet Socialist Republics,9906,David Bernstein,7,7,6,6,7,9,42,Gold medal
1964,Union of Soviet Socialist Republics,9905,Genadiy Arhipov,unknown,unknown,unknown,unknown,unknown,unknown,39,Gold medal
1964,Union of Soviet Socialist Republics,9909,Yuri Matiashevich,unknown,unknown,unknown,unknown,unknown,unknown,38,Gold medal
1964,Union of Soviet Socialist Republics,9904,Valeriy Alekseev,unknown,unknown,unknown,unknown,unknown,unknown,36,Silver medal
1964,Union of Soviet Socialist Republics,9908,Boris Ivlev,unknown,unknown,unknown,unknown,unknown,unknown,30,Bronze medal
1964,Union of Soviet Socialist Republics,9907,Aleksander Vilenkin,unknown,unknown,unknown,unknown,unknown,unknown,30,Bronze medal
1964,Union of Soviet Socialist Republics,9911,Aleksander Florensov,unknown,unknown,unknown,unknown,unknown,unknown,29,Bronze medal
1964,Union of Soviet Socialist Republics,9910,Iliya Rips,unknown,unknown,unknown,unknown,unknown,unknown,25,
1964,Hungary,9854,László Gerencsér,unknown,unknown,unknown,unknown,unknown,unknown,41,Gold medal
1964,Hungary,9852,László Lovász,unknown,unknown,unknown,unknown,unknown,unknown,39,Gold medal
1964,Hungary,9853,József Pelikán,unknown,unknown,unknown,unknown,unknown,unknown,39,Gold medal
1964,Hungary,9888,István Berkes,unknown,unknown,unknown,unknown,unknown,unknown,35,Silver medal
1964,Hungary,9851,Endre Makai,unknown,unknown,unknown,unknown,unknown,unknown,28,Bronze medal
1964,Hungary,12710,Tamás Komor,unknown,unknown,unknown,unknown,unknown,unknown,26,
1964,Hungary,9849,Gábor Corrádi,unknown,unknown,unknown,unknown,unknown,unknown,24,
1964,Hungary,12709,Róbert Freud,unknown,unknown,unknown,unknown,unknown,unknown,21,
1964,Romania,9899,Octavian Bîscă,unknown,unknown,unknown,unknown,unknown,unknown,33,Silver medal
1964,Romania,9903,Alexandru Vinea,unknown,unknown,unknown,unknown,unknown,unknown,32,Silver medal
1964,Romania,9900,Mihai Kerciu,unknown,unknown,unknown,unknown,unknown,unknown,30,Bronze medal
